route_id,agency_id,route_short_name,route_long_name,route_type
"0-1-b12-1","978","1","Strand Road - Shanard Avenue","3"
"0-102-b12-1","978","102","Bus Interchange - DART Station","3"
"0-104-b12-1","978","104","Shanard Avenue - Bus Garage","3"
"0-11-b12-1","978","11","Corrig Road - St. Pappin's Green","3"
"0-111-b12-1","978","111","Train Station - Loughlinstown Wood","3"
"0-114-b12-1","978","114","Train Station - Simons Ridge","3"
"0-116-b12-1","978","116","Lady of Good Council - Cholaiste Mhuire","3"
"0-118-b12-1","978","118","Ballycorus Rd - D'Olier Street Junction Burgh Quay (Stop","3"
"0-120-b12-1","978","120","Rathbourne Way - Elgin Road","3"
"0-122-b12-1","978","122","Crumlin Hospital - Abbey Drive","3"
"0-123-b12-1","978","123","Ard Scoil Ris - Walkinstown Road","3"
"0-13-b12-1","978","13","Business Park - Bus Garage","3"
"0-130-b12-1","978","130","Clontarf Castle - Abbey Theatre","3"
"0-14-b12-1","978","14","Hearse Road - Kilmore Road","3"
"0-140-b12-1","978","140","Palmerston Villas - St. Margaret's Rd","3"
"0-142-b12-1","978","142","Wendell Avenue - Palmerston Villas","3"
"0-145-b12-1","978","145","Rock Valley - Heuston Station","3"
"0-14C-b12-1","978","14C","Hearse Road - Junction Malborough Street (Stop EE)","3"
"0-15-b12-1","978","15","Hunter's Avenue - Park and Ride","3"
"0-150-b12-1","978","150","Church - Central Bank","3"
"0-151-b12-1","978","151","Foxborough - Bargy Rd","3"
"0-15A-b12-1","978","15A","Limekiln Road - Sir John Rogerson's Qy","3"
"0-15B-b12-1","978","15B","Stocking Avenue Opposite Dalriada Estate - Sir John Rogerson's Qy","3"
"0-16-b12-1","978","16","Stone Masons Way - Bus Interchange","3"
"0-161-b12-1","978","161","Rockbrook Park School - Luas Station","3"
"0-16C-b12-1","978","16C","Stone Masons Way - St. Martin's Chapel","3"
"0-17-b12-1","978","17","Train Station - Anthony's Road","3"
"0-17A-b12-1","978","17A","Naomh Barrog GAA Club - Blanchardstown","3"
"0-18-b12-1","978","18","Strand Road - Hollyville Lawn","3"
"0-184-b12-1","978","184","Newcastle Hospital - Rail Station","3"
"0-185-b12-1","978","185","Enniskerry Golf Club - Rail Station","3"
"0-220-b12-1","978","220","FÁS Centre - Shangan Crescent","3"
"0-236-b12-1","978","236","Blanchardstown - Blanchardstown","3"
"0-238-b12-1","978","238","FÁS Centre - Carlton Hotel","3"
"0-239-b12-1","978","239","Liffey Valley Shop Cen - Blanchardstown","3"
"0-25-b12-1","978","25","Meadowview Grove - Junction Merrion Square West","3"
"0-25A-b12-1","978","25A","Esker Drive - Junction Merrion Square West","3"
"0-25B-b12-1","978","25B","Rail Station - Junction Merrion Square West","3"
"0-25X-b12-1","978","25X","Kew Park - University College Dublin","3"
"0-26-b12-1","978","26","Palmerstown Cemetery - Junction Merrion Square West","3"
"0-27-b12-1","978","27","Cloonmore Drive - Clare Hall Estate","3"
"0-270-b12-1","978","270","Navan Road - Blanchardstown","3"
"0-27A-b12-1","978","27A","GAA Sports Ground - Abbey Theatre","3"
"0-27B-b12-1","978","27B","Bus Garage - Abbey Theatre","3"
"0-27X-b12-1","978","27X","Clare Hall Estate - University College Dublin","3"
"0-29A-b12-1","978","29A","Willie Nolan Road - Abbey Theatre","3"
"0-31-b12-1","978","31","Howth Summit - Abbey Theatre","3"
"0-31A-b12-1","978","31A","Sutton Castle - Abbey Theatre","3"
"0-31B-b12-1","978","31B","DART Station - Abbey Theatre","3"
"0-32-b12-1","978","32","St. James's Terrace - Abbey Theatre","3"
"0-32X-b12-1","978","32X","Millview Road - University College Dublin","3"
"0-33-b12-1","978","33","St. Paul's Crescent - Irish Life Mall","3"
"0-332-b12-1","978","332","Donabate Station - Opposite the Burrow Estate","3"
"0-33A-b12-1","978","33A","St. Paul's Crescent - Cholaiste Choilm","3"
